x,y,psi,kappa,s
6.218141728893604636e+01,-6.612256924371526789e-01,-1.064480276922244451e-02,0.000000000000000000e+00,6.218493474603639015e+01
6.267780416707352487e+01,-6.665098324388480933e-01,-1.064480276922244451e-02,0.000000000000000000e+00,6.268134974875350451e+01
6.317419104521101758e+01,-6.717939724405435076e-01,-1.064480276922244451e-02,0.000000000000000000e+00,6.317776475147063309e+01
6.367057792334850319e+01,-6.770781124422390329e-01,-1.064480276922244451e-02,0.000000000000000000e+00,6.367417975418775455e+01
6.416696480148598880e+01,-6.823622524439344472e-01,-1.064480276922244451e-02,0.000000000000000000e+00,6.417059475690487602e+01
6.466335167962348862e+01,-6.876463924456298615e-01,-1.064480276922244451e-02,0.000000000000000000e+00,6.466700975962200459e+01
6.515973855776096002e+01,-6.929305324473252758e-01,-1.064480276922244451e-02,0.000000000000000000e+00,6.516342476233910475e+01
6.565612543589844563e+01,-6.982146724490206902e-01,-1.064480276922244451e-02,0.000000000000000000e+00,6.565983976505621911e+01
6.615251231403593124e+01,-7.034988124507161045e-01,-1.064480276922244451e-02,0.000000000000000000e+00,6.615625476777333347e+01
6.664889919217343106e+01,-7.087829524524116298e-01,-1.064480276922244451e-02,0.000000000000000000e+00,6.665266977049046204e+01
6.714528607031090246e+01,-7.140670924541071551e-01,-1.064480276922244451e-02,0.000000000000000000e+00,6.714908477320756219e+01
6.764167294844838807e+01,-7.193512324558024584e-01,-1.064480276922244451e-02,0.000000000000000000e+00,6.764549977592467656e+01
6.813805982658587368e+01,-7.246353724574979838e-01,-1.064480276922244451e-02,0.000000000000000000e+00,6.814191477864179092e+01
6.863444670472335929e+01,-7.299195124591933981e-01,-1.064480276922244451e-02,0.000000000000000000e+00,6.863832978135890528e+01
6.913083358286084490e+01,-7.352036524608888124e-01,-1.064480276922244451e-02,0.000000000000000000e+00,6.913474478407601964e+01
6.962722046099834472e+01,-7.404877924625842267e-01,-1.064480276922244451e-02,0.000000000000000000e+00,6.963115978679314821e+01
7.012360733913581612e+01,-7.457719324642796410e-01,-1.064480276922244451e-02,0.000000000000000000e+00,7.012757478951024837e+01
7.061999421727330173e+01,-7.510560724659750553e-01,-1.064480276922244451e-02,0.000000000000000000e+00,7.062398979222736273e+01
7.111638109541080155e+01,-7.563402124676705807e-01,-1.064480276922244451e-02,0.000000000000000000e+00,7.112040479494449130e+01
7.161276797354828716e+01,-7.616243524693661060e-01,-1.064480276922244451e-02,0.000000000000000000e+00,7.161681979766160566e+01
7.210915485168577277e+01,-7.669084924710615203e-01,-1.064480276922244451e-02,0.000000000000000000e+00,7.211323480037872002e+01
7.260554172982325838e+01,-7.721926324727568236e-01,-1.064480276922244451e-02,0.000000000000000000e+00,7.260964980309583439e+01
7.310192860796074399e+01,-7.774767724744523489e-01,-1.064480276922244451e-02,0.000000000000000000e+00,7.310606480581294875e+01
7.359831548609822960e+01,-7.827609124761478743e-01,-1.064480276922244451e-02,0.000000000000000000e+00,7.360247980853006311e+01
7.409470236423571521e+01,-7.880450524778432886e-01,-1.064480276922244451e-02,0.000000000000000000e+00,7.409889481124717747e+01
7.459108924237320082e+01,-7.933291924795385919e-01,-1.064480276922244451e-02,0.000000000000000000e+00,7.459530981396429183e+01
7.508747612051068643e+01,-7.986133324812341172e-01,-1.064480276922244451e-02,0.000000000000000000e+00,7.509172481668140620e+01
7.558386299864817204e+01,-8.038974724829294205e-01,-1.064480276922244451e-02,0.000000000000000000e+00,7.558813981939852056e+01
7.608024987678565765e+01,-8.091816124846249458e-01,-1.064480276922244451e-02,0.000000000000000000e+00,7.608455482211563492e+01
7.657663675492314326e+01,-8.144657524863204712e-01,-1.064480276922244451e-02,0.000000000000000000e+00,7.658096982483274928e+01
7.707302363306062887e+01,-8.197498924880159965e-01,-1.064480276922244451e-02,0.000000000000000000e+00,7.707738482754986364e+01
7.756941051119812869e+01,-8.250340324897114108e-01,-1.064480276922244451e-02,0.000000000000000000e+00,7.757379983026699222e+01
7.806579738933560009e+01,-8.303181724914068251e-01,-1.064480276922244451e-02,0.000000000000000000e+00,7.807021483298409237e+01
7.856218426747308570e+01,-8.356023124931022394e-01,-1.064480276922244451e-02,0.000000000000000000e+00,7.856662983570120673e+01
7.905857114561058552e+01,-8.408864524947976538e-01,-1.064480276922244451e-02,0.000000000000000000e+00,7.906304483841833530e+01
